OBJECTID,NAME,WARD,DATASOURCE,ID,sourceCountry,ENRICH_FID,aggregationMethod,populationToPolygonSizeRating,apportionmentConfidence,HasData,WHITE_CY,BLACK_CY,AMERIND_CY,ASIAN_CY,PACIFIC_CY,OTHRACE_CY,RACE2UP_CY,HISPPOP_CY,MINORITYCY,WHITE10,BLACK10,AMERIND10,ASIAN10,PACIFIC10,OTHRACE10,RACE2UP10,HISPPOP10,MINORITY10,DIVINDX10,HISPWHT_CY,HISPBLK_CY,HISPAI_CY,HISPASN_CY,HISPPI_CY,HISPOTH_CY,HISPMLT_CY,HWHITE10,HBLACK10,HAMERIND10,HASIAN10,HPACIFIC10,HOTHRACE10,HRACE2UP10,HRACEBAS10,H1RACE10,HADRBASE10,HAD1RACE10,U18RBASE10,NONHISP_CY,NHSPWHT_CY,NHSPBLK_CY,NHSPAI_CY,NHSPASN_CY,NHSPPI_CY,NHSPOTH_CY,NHSPMLT_CY,RACEBASECY,WHTNHISP10,RACEBASE10,POP1RACE10,ADRACBAS10,AD1RACE10,DIVINDX_CY
46,Country Glenn,3,NEIGHBORHOODS,15,US,46,BlockApportionment:US.BlockGroups,2.191,2.576,1,1042,113,36,39,5,142,70,420,629,1075,102,33,32,5,117,57,351,533,63.6,224,13,15,4,0,138,26,188,11,14,4,0,113,21,351,330,233,221,282,1027,818,100,21,35,5,4,44,1447,887,1421,1364,1138,1106,69.1
47,Groves Lincoln Park,4,NEIGHBORHOODS,16,US,47,BlockApportionment:US.BlockGroups,2.191,2.576,1,3680,390,60,242,9,611,302,1770,2566,3909,357,53,203,9,513,264,1517,2223,67.5,952,39,38,22,1,605,113,824,33,33,20,1,507,99,1517,1418,981,931,1407,3524,2728,351,22,220,8,6,189,5294,3085,5308,5044,3901,3761,72.8
48,Harlan Heights,6,NEIGHBORHOODS,17,US,48,BlockApportionment:US.BlockGroups,2.191,2.576,1,1209,74,22,38,4,117,40,401,556,1267,68,20,30,4,96,34,338,472,54.3,259,4,7,0,0,114,16,220,4,7,0,0,94,14,339,324,235,229,238,1104,950,70,15,38,4,3,24,1504,1047,1519,1485,1281,1266,60.5
49,Old Spanish Trail,4,NEIGHBORHOODS,18,US,49,BlockApportionment:US.BlockGroups,2.191,2.576,1,2773,158,40,240,1,182,134,777,1277,2900,140,36,194,1,150,114,651,1074,52.6,522,17,9,4,0,175,50,439,14,8,4,0,143,43,651,608,395,376,859,2751,2251,141,31,236,1,7,84,3528,2461,3535,3421,2676,2624,59
50,Hedrick Acres,3,NEIGHBORHOODS,19,US,50,BlockApportionment:US.BlockGroups,2.191,2.576,1,2714,218,144,183,18,387,211,1140,1761,2563,187,124,151,16,310,177,924,1453,67.3,600,32,35,1,0,378,94,489,26,28,1,0,301,79,924,845,648,601,569,2734,2114,186,108,182,18,9,117,3875,2074,3528,3351,2958,2847,70.9
51,Highland Vista Cinco Via,6,NEIGHBORHOODS,20,US,51,BlockApportionment:US.BlockGroups,2.191,2.576,1,700,24,9,38,0,45,27,179,270,716,21,8,30,0,36,23,145,221,47.2,127,1,0,0,0,42,9,103,1,0,0,0,33,7,144,138,103,97,174,664,573,22,9,38,0,2,19,843,612,834,811,659,646,53.9
52,Houghton East,2,NEIGHBORHOODS,21,US,52,BlockApportionment:US.BlockGroups,2.191,2.576,1,3792,88,21,152,8,146,140,621,990,3810,74,18,115,6,114,113,486,782,35.8,434,2,9,6,0,137,32,342,1,7,5,0,105,26,486,461,330,320,805,3727,3358,86,12,146,8,9,108,4347,3468,4250,4137,3445,3403,42.4
53,Iron Horse,6,NEIGHBORHOODS,22,US,53,BlockApportionment:US.BlockGroups,2.191,2.576,1,446,16,18,35,0,50,28,130,213,466,14,15,28,0,40,24,107,176,55.6,65,1,5,0,0,47,12,54,1,4,0,0,38,10,107,97,94,87,36,463,381,16,12,35,0,3,16,593,412,587,563,552,533,62.6
54,Ironwood Ridge,1,NEIGHBORHOODS,23,US,54,BlockApportionment:US.BlockGroups,2.191,2.576,1,95,7,8,9,0,34,8,97,119,96,6,7,8,0,29,8,84,105,79.8,53,1,3,0,0,33,5,47,1,3,0,0,29,5,85,80,58,55,36,64,42,6,5,9,0,0,3,161,48,154,146,117,113,81.5
55,Jefferson Park,3,NEIGHBORHOODS,24,US,55,BlockApportionment:US.BlockGroups,2.191,2.576,1,1681,65,42,217,2,169,87,499,871,1785,58,38,176,2,140,74,419,732,56.4,289,5,12,3,0,163,29,244,4,10,3,0,133,25,419,394,343,320,189,1763,1392,61,30,215,2,7,58,2263,1541,2273,2199,2084,2017,63.1
